date,region,patients,geoOrder
24/05/2020,East of England,683,4
24/05/2020,London,974,5
24/05/2020,Midlands,1324,3
24/05/2020,North East and Yorkshire,982,2
24/05/2020,North West,1426,1
24/05/2020,South East,777,6
24/05/2020,South West,323,7
25/05/2020,East of England,683,4
25/05/2020,London,987,5
25/05/2020,Midlands,1372,3
25/05/2020,North East and Yorkshire,1014,2
25/05/2020,North West,1426,1
25/05/2020,South East,724,6
25/05/2020,South West,317,7
26/05/2020,East of England,641,4
26/05/2020,London,957,5
26/05/2020,Midlands,1307,3
26/05/2020,North East and Yorkshire,1013,2
26/05/2020,North West,1424,1
26/05/2020,South East,747,6
26/05/2020,South West,301,7
27/05/2020,East of England,632,4
27/05/2020,London,913,5
27/05/2020,Midlands,1266,3
27/05/2020,North East and Yorkshire,965,2
27/05/2020,North West,1342,1
27/05/2020,South East,720,6
27/05/2020,South West,271,7
28/05/2020,East of England,599,4
28/05/2020,London,861,5
28/05/2020,Midlands,1228,3
28/05/2020,North East and Yorkshire,939,2
28/05/2020,North West,1292,1
28/05/2020,South East,665,6
28/05/2020,South West,266,7
29/05/2020,East of England,502,4
29/05/2020,London,839,5
29/05/2020,Midlands,1176,3
29/05/2020,North East and Yorkshire,903,2
29/05/2020,North West,1265,1
29/05/2020,South East,653,6
29/05/2020,South West,251,7
30/05/2020,East of England,531,4
30/05/2020,London,780,5
30/05/2020,Midlands,1120,3
30/05/2020,North East and Yorkshire,856,2
30/05/2020,North West,1218,1
30/05/2020,South East,599,6
30/05/2020,South West,236,7
31/05/2020,East of England,515,4
31/05/2020,London,748,5
31/05/2020,Midlands,1113,3
31/05/2020,North East and Yorkshire,870,2
31/05/2020,North West,1221,1
31/05/2020,South East,599,6
31/05/2020,South West,232,7
01/06/2020,East of England,526,4
01/06/2020,London,737,5
01/06/2020,Midlands,1148,3
01/06/2020,North East and Yorkshire,867,2
01/06/2020,North West,1227,1
01/06/2020,South East,621,6
01/06/2020,South West,232,7
02/06/2020,East of England,482,4
02/06/2020,London,710,5
02/06/2020,Midlands,1104,3
02/06/2020,North East and Yorkshire,856,2
02/06/2020,North West,1217,1
02/06/2020,South East,607,6
02/06/2020,South West,232,7
03/06/2020,East of England,463,4
03/06/2020,London,696,5
03/06/2020,Midlands,1054,3
03/06/2020,North East and Yorkshire,819,2
03/06/2020,North West,1195,1
03/06/2020,South East,596,6
03/06/2020,South West,234,7
04/06/2020,East of England,425,4
04/06/2020,London,669,5
04/06/2020,Midlands,1036,3
04/06/2020,North East and Yorkshire,767,2
04/06/2020,North West,1133,1
04/06/2020,South East,581,6
04/06/2020,South West,224,7
05/06/2020,East of England,408,4
05/06/2020,London,662,5
05/06/2020,Midlands,987,3
05/06/2020,North East and Yorkshire,739,2
05/06/2020,North West,1123,1
05/06/2020,South East,558,6
05/06/2020,South West,218,7
06/06/2020,East of England,439,4
06/06/2020,London,591,5
06/06/2020,Midlands,955,3
06/06/2020,North East and Yorkshire,701,2
06/06/2020,North West,1056,1
06/06/2020,South East,551,6
06/06/2020,South West,213,7
07/06/2020,East of England,389,4
07/06/2020,London,586,5
07/06/2020,Midlands,932,3
07/06/2020,North East and Yorkshire,698,2
07/06/2020,North West,1016,1
07/06/2020,South East,516,6
07/06/2020,South West,188,7
08/06/2020,East of England,394,4
08/06/2020,London,585,5
08/06/2020,Midlands,936,3
08/06/2020,North East and Yorkshire,708,2
08/06/2020,North West,1019,1
08/06/2020,South East,511,6
08/06/2020,South West,173,7
09/06/2020,East of England,355,4
09/06/2020,London,583,5
09/06/2020,Midlands,925,3
09/06/2020,North East and Yorkshire,686,2
09/06/2020,North West,984,1
09/06/2020,South East,481,6
09/06/2020,South West,162,7
10/06/2020,East of England,338,4
10/06/2020,London,556,5
10/06/2020,Midlands,901,3
10/06/2020,North East and Yorkshire,647,2
10/06/2020,North West,892,1
10/06/2020,South East,474,6
10/06/2020,South West,152,7
11/06/2020,East of England,327,4
11/06/2020,London,509,5
11/06/2020,Midlands,850,3
11/06/2020,North East and Yorkshire,585,2
11/06/2020,North West,888,1
11/06/2020,South East,458,6
11/06/2020,South West,125,7
12/06/2020,East of England,318,4
12/06/2020,London,470,5
12/06/2020,Midlands,864,3
12/06/2020,North East and Yorkshire,628,2
12/06/2020,North West,877,1
12/06/2020,South East,435,6
12/06/2020,South West,126,7
13/06/2020,East of England,314,4
13/06/2020,London,443,5
13/06/2020,Midlands,844,3
13/06/2020,North East and Yorkshire,588,2
13/06/2020,North West,877,1
13/06/2020,South East,407,6
13/06/2020,South West,115,7
14/06/2020,East of England,304,4
14/06/2020,London,437,5
14/06/2020,Midlands,860,3
14/06/2020,North East and Yorkshire,576,2
14/06/2020,North West,884,1
14/06/2020,South East,418,6
14/06/2020,South West,114,7
15/06/2020,East of England,278,4
15/06/2020,London,419,5
15/06/2020,Midlands,857,3
15/06/2020,North East and Yorkshire,579,2
15/06/2020,North West,894,1
15/06/2020,South East,405,6
15/06/2020,South West,116,7
16/06/2020,East of England,322,4
