Date,engDaily,niDaily,scotDaily,walDaily,engTotal,niTotal,scotTotal,walTotal
08/05/2020,1694,38,225,152,134018,4022,13149,11003
07/05/2020,2133,50,215,87,132324,3984,12924,10851
06/05/2020,1611,53,272,95,130191,3934,12709,10764
05/05/2020,1842,45,171,145,128580,3881,12437,10669
04/05/2020,1485,69,169,195,126738,3836,12266,10524
03/05/2020,2019,78,170,174,125253,3767,12097,10329
02/05/2020,2228,66,273,183,123234,3689,11927,10155
01/05/2020,2501,87,301,160,121006,3623,11654,9972
30/04/2020,2484,73,319,183,118343,3536,11353,9812
29/04/2020,1403,55,313,117,115859,3463,11034,9629
28/04/2020,1989,34,200,232,114456,3408,10721,9512
27/04/2020,2264,66,197,203,112467,3374,10521,9280
26/04/2020,2152,82,273,178,110203,3308,10324,9078
25/04/2020,2826,104,354,299,108051,3226,10051,8900
24/04/2020,3004,106,288,243,105225,3122,9697,8601
23/04/2020,3084,142,371,234,102221,3016,9409,8358
22/04/2020,3020,116,366,274,99137,2874,9038,8124
21/04/2020,3087,30,222,304,96117,2758,8672,7850
20/04/2020,2401,83,263,276,93030,2728,8450,7546
19/04/2020,3607,159,367,334,90629,2645,8187,7270
18/04/2020,3548,148,411,292,87022,2486,7820,6936
17/04/2020,3985,137,307,244,83474,2338,7409,6645
16/04/2020,3118,113,354,284,79489,2201,7102,6401
15/04/2020,3188,121,390,272,76371,2088,6748,6118
14/04/2020,3854,85,291,238,73183,1967,6358,5848
13/04/2020,2999,76,155,313,69329,1882,6067,5610
12/04/2020,3672,89,322,367,66330,1806,5912,5297
11/04/2020,3841,128,315,340,62658,1717,5590,4930
10/04/2020,4263,112,318,502,58817,1589,5275,4591
09/04/2020,3798,138,392,16,54554,1477,4957,4089
08/04/2020,4788,84,336,283,50756,1339,4565,4073
07/04/2020,2978,97,268,291,45968,1255,4229,3790
06/04/2020,3176,69,255,302,42990,1158,3961,3499
05/04/2020,5107,91,361,344,39814,1089,3706,3197
04/04/2020,2910,94,344,387,34707,998,3345,2853
03/04/2020,3576,130,399,345,31797,904,3001,2466
02/04/2020,3583,85,292,284,28221,774,2602,2121
01/04/2020,3630,103,317,274,24638,689,2310,1837
31/03/2020,2414,53,430,112,21008,586,1993,1563
30/03/2020,2107,123,179,210,18594,533,1563,1451
29/03/2020,2060,86,139,148,16487,410,1384,1241
28/03/2020,2139,49,186,172,14427,324,1245,1093
27/03/2020,2506,34,165,180,12288,275,1059,921
26/03/2020,1809,32,175,113,9782,241,894,741
25/03/2020,1130,37,135,150,7973,209,719,628
24/03/2020,1258,24,85,60,6843,172,584,478
23/03/2020,793,20,83,71,5585,148,499,418
22/03/2020,535,20,43,67,4792,128,416,347
21/03/2020,873,22,51,89,4257,108,373,280
20/03/2020,628,9,56,21,3384,86,322,191
19/03/2020,574,9,39,21,2756,77,266,170
18/03/2020,625,6,32,13,2182,68,227,149
17/03/2020,361,10,24,12,1557,62,195,136
16/03/2020,97,7,18,30,1196,52,171,124
15/03/2020,253,11,32,34,1099,45,153,94
14/03/2020,201,5,36,22,846,34,121,60
13/03/2020,159,10,25,13,645,29,85,38
12/03/2020,99,1,24,10,486,19,60,25
11/03/2020,63,2,9,9,387,18,36,15
10/03/2020,46,0,4,2,324,16,27,6
09/03/2020,40,3,5,2,282,12,23,4
08/03/2020,58,5,2,0,241,9,18,2
07/03/2020,39,2,5,0,183,4,16,2
06/03/2020,39,2,5,0,144,2,11,2
