"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"","","","","","","20_to_24","74","32.6","50_to_54","339","112.5","","","","",""
"","","","","","","10_to_14","8","2.7","25_to_29","139","49","","","","",""
"","","","","","","45_to_49","203","62.9","85_to_89","328","866.4","","","","",""
"","","","","","","90+","220","582.7","30_to_34","173","45","","","","",""
"","","","","","","5_to_9","5","2","15_to_19","9","3.3","","","","",""
"","","region","London","E12000007","2020-03-26","5_to_9","5","2","0_to_4","34","11","","","","",""
"","","","","","","90+","203","537.6","40_to_44","187","46.2","","","","",""
"","","","","","","70_to_74","174","118.9","20_to_24","45","18.7","","","","",""
"","","","","","","65_to_69","179","108.6","35_to_39","170","39.6","","","","",""
"","","","","","","50_to_54","201","68.1","10_to_14","9","2.9","","","","",""
"","","","","","","40_to_44","136","36.1","75_to_79","321","370.3","","","","",""
"","","","","","","55_to_59","187","65.2","5_to_9","6","2.5","","","","",""
"","","","","","","85_to_89","247","444.2","50_to_54","304","100.9","","","","",""
"","","","","","","30_to_34","181","46.9","80_to_84","339","517.3","","","","",""
"","","","","","","75_to_79","225","211","85_to_89","298","787.2","","","","",""
"","","","","","","25_to_29","178","63.1","25_to_29","125","44.1","","","","",""
"","","","","","","0_to_4","18","6.1","70_to_74","304","239.1","","","","",""
"","","","","","","45_to_49","184","57","45_to_49","222","65.6","","","","",""
"","","","","","","80_to_84","247","289.6","55_to_59","284","101.4","","","","",""
"","","","","","","10_to_14","8","2.7","30_to_34","156","40.6","","","","",""
"","","","","","","20_to_24","66","29.1","15_to_19","7","2.5","","","","",""
"","","","","","","35_to_39","159","38.9","60_to_64","293","153.4","","","","",""
"","","","","","","60_to_64","187","93.5","65_to_69","254","171.4","","","","",""
"","","","","","","15_to_19","19","7.2","90+","191","969.6","","","","",""
"","","region","London","E12000007","2020-03-25","5_to_9","5","2","25_to_29","110","38.8","","","","",""
"","","","","","","25_to_29","158","56","15_to_19","7","2.5","","","","",""
"","","","","","","65_to_69","146","88.6","50_to_54","252","83.7","","","","",""
"","","","","","","35_to_39","132","32.3","0_to_4","31","10","","","","",""
"","","","","","","15_to_19","18","6.9","5_to_9","6","2.5","","","","",""
"","","","","","","60_to_64","167","83.5","40_to_44","164","40.6","","","","",""
"","","","","","","50_to_54","175","59.2","55_to_59","254","90.7","","","","",""
"","","","","","","75_to_79","204","191.3","45_to_49","188","55.5","","","","",""
"","","","","","","80_to_84","217","254.4","10_to_14","8","2.6","","","","",""
"","","","","","","45_to_49","160","49.6","65_to_69","217","146.5","","","","",""
"","","","","","","40_to_44","121","32.1","80_to_84","310","473.1","","","","",""
"","","","","","","85_to_89","224","402.8","60_to_64","255","133.5","","","","",""
"","","","","","","55_to_59","166","57.9","30_to_34","145","37.7","","","","",""
"","","","","","","10_to_14","7","2.4","70_to_74","271","213.1","","","","",""
"","","","","","","30_to_34","154","39.9","75_to_79","286","329.9","","","","",""
"","","","","","","20_to_24","63","27.8","90+","165","837.6","","","","",""
"","","","","","","0_to_4","15","5.1","20_to_24","45","18.7","","","","",""
"","","","","","","70_to_74","149","101.8","35_to_39","154","35.8","","","","",""
"","","","","","","90+","179","474.1","85_to_89","263","694.7","","","","",""
"","","region","London","E12000007","2020-03-24","20_to_24","53","23.3","20_to_24","41","17","","","","",""
"","","","","","","80_to_84","185","216.9","85_to_89","225","594.3","","","","",""
"","","","","","","35_to_39","115","28.2","5_to_9","6","2.5","","","","",""
"","","","","","","40_to_44","111","29.4","30_to_34","126","32.8","","","","",""
"","","","","","","5_to_9","4","1.6","25_to_29","96","33.9","","","","",""
"","","","","","","85_to_89","198","356.1","0_to_4","28","9","","","","",""
"","","","","","","25_to_29","132","46.8","10_to_14","6","1.9","","","","",""
"","","","","","","15_to_19","16","6.1","35_to_39","136","31.6","","","","",""
"","","","","","","70_to_74","131","89.5","90+","148","751.3","","","","",""
"","","","","","","45_to_49","133","41.2","55_to_59","206","73.5","","","","",""
"","","","","","","65_to_69","128","77.7","60_to_64","225","117.8","","","","",""
"","","","","","","0_to_4","12","4.1","65_to_69","190","128.2","","","","",""
"","","","","","","90+","149","394.6","40_to_44","140","34.6","","","","",""
"","","","","","","50_to_54","151","51.1","50_to_54","216","71.7","","","","",""
"","","","","","","60_to_64","147","73.5","75_to_79","246","283.8","","","","",""
"","","","","","","30_to_34","139","36","80_to_84","271","413.5","","","","",""
"","","","","","","75_to_79","178","166.9","15_to_19","7","2.5","","","","",""
"","","","","","","55_to_59","150","52.3","45_to_49","151","44.6","","","","",""
"","","","","","","10_to_14","7","2.4","70_to_74","235","184.8","","","","",""
"","","region","London","E12000007","2020-03-23","45_to_49","110","34.1","90+","131","665","","","","",""
"","","","","","","70_to_74","108","73.8","20_to_24","39","16.2","","","","",""
"","","","","","","55_to_59","129","45","0_to_4","27","8.7","","","","",""
"","","","","","","30_to_34","124","32.1","50_to_54","185","61.4","","","","",""
"","","","","","","5_to_9","3","1.2","10_to_14","6","1.9","","","","",""
"","","","","","","10_to_14","6","2","80_to_84","234","357.1","","","","",""
"","","","","","","40_to_44","95","25.2","35_to_39","119","27.7","","","","",""
"","","","","","","35_to_39","96","23.5","40_to_44","123","30.4","","","","",""
"","","","","","","80_to_84","150","175.9","30_to_34","114","29.7","","","","",""
"","","","","","","0_to_4","9","3","75_to_79","211","243.4","","","","",""
"","","","","","","50_to_54","131","44.4","60_to_64","196","102.6","","","","",""
"","","","","","","85_to_89","173","311.1","65_to_69","164","110.7","","","","",""
"","","","","","","60_to_64","132","66","5_to_9","5","2.1","","","","",""
"","","","","","","25_to_29","110","39","15_to_19","6","2.2","","","","",""
"","","","","","","20_to_24","47","20.7","25_to_29","88","31","","","","",""
"","","","","","","15_to_19","12","4.6","45_to_49","128","37.8","","","","",""
"","","","","","","65_to_69","113","68.6","55_to_59","184","65.7","","","","",""
"","","","","","","90+","133","352.2","70_to_74","204","160.4","","","","",""
"","","","","","","75_to_79","158","148.2","85_to_89","202","533.6","","","","",""
"","","region","London","E12000007","2020-03-22","80_to_84","126","147.7","75_to_79","180","207.6","","","","",""
"","","","","","","40_to_44","80","21.2","10_to_14","5","1.6","","","","",""
"","","","","","","30_to_34","109","28.3","5_to_9","5","2.1","","","","",""
"","","","","","","75_to_79","129","121","0_to_4","21","6.8","","","","",""
"","","","","","","10_to_14","5","1.7","25_to_29","80","28.2","","","","",""
"","","","","","","55_to_59","109","38","65_to_69","138","93.1","","","","",""
"","","","","","","0_to_4","8","2.7","45_to_49","106","31.3","","","","",""
"","","","","","","50_to_54","112","37.9","50_to_54","154","51.1","","","","",""
"","","","","","","25_to_29","92","32.6","20_to_24","34","14.1","","","","",""
"","","","","","","45_to_49","86","26.7","90+","101","512.7","","","","",""
"","","","","","","70_to_74","90","61.5","15_to_19","5","1.8","","","","",""
"","","","","","","20_to_24","40","17.6","40_to_44","103","25.5","","","","",""
"","","","","","","60_to_64","115","57.5","35_to_39","94","21.9","","","","",""
"","","","","","","85_to_89","145","260.8","60_to_64","159","83.2","","","","",""
"","","","","","","15_to_19","11","4.2","85_to_89","159","420","","","","",""
"","","","","","","65_to_69","96","58.3","55_to_59","155","55.3","","","","",""
"","","","","","","35_to_39","84","20.6","80_to_84","194","296","","","","",""
"","","","","","","90+","113","299.3","70_to_74","173","136","","","","",""
"","","","","","","5_to_9","2","0.8","30_to_34","99","25.8","","","","",""
"","","region","London","E12000007","2020-03-21","70_to_74","85","58.1","15_to_19","4","1.5","","","","",""
"","","","","","","60_to_64","99","49.5","75_to_79","153","176.5","","","","",""
"","","","","","","35_to_39","74","18.1","45_to_49","92","27.2","","","","",""
"","","","","","","15_to_19","11","4.2","60_to_64","131","68.6","","","","",""
"","","","","","","20_to_24","37","16.3","0_to_4","20","6.4","","","","",""
"","","","","","","40_to_44","69","18.3","30_to_34","91","23.7","","","","",""
"","","","","","","5_to_9","2","0.8","20_to_24","34","14.1","","","","",""
"","","","","","","65_to_69","86","52.2","65_to_69","123","83","","","","",""
"","","","","","","0_to_4","6","2","85_to_89","142","375.1","","","","",""
"","","","","","","85_to_89","124","223","10_to_14","5","1.6","","","","",""
"","","","","","","75_to_79","113","106","40_to_44","92","22.7","","","","",""
"","","","","","","80_to_84","104","121.9","35_to_39","83","19.3","","","","",""
"","","","","","","55_to_59","90","31.4","5_to_9","4","1.6","","","","",""
"","","","","","","25_to_29","84","29.8","70_to_74","146","114.8","","","","",""
"","","","","","","30_to_34","96","24.9","55_to_59","131","46.8","","","","",""
"","","","","","","90+","98","259.5","50_to_54","143","47.5","","","","",""
"","","","","","","45_to_49","75","23.3","80_to_84","167","254.8","","","","",""
"","","","","","","50_to_54","104","35.2","25_to_29","74","26.1","","","","",""
"","","","","","","10_to_14","5","1.7","90+","82","416.3","","","","",""
"","","region","London","E12000007","2020-03-20","85_to_89","106","190.6","65_to_69","104","70.2","","","","",""
"","","","","","","30_to_34","93","24.1","90+","74","375.7","","","","",""
"","","","","","","25_to_29","81","28.7","20_to_24","32","13.3","","","","",""
"","","","","","","60_to_64","87","43.5","80_to_84","147","224.3","","","","",""
"","","","","","","35_to_39","69","16.9","85_to_89","123","324.9","","","","",""
"","","","","","","15_to_19","9","3.4","5_to_9","4","1.6","","","","",""
"","","","","","","50_to_54","96","32.5","75_to_79","133","153.4","","","","",""
"","","","","","","0_to_4","5","1.7","60_to_64","114","59.7","","","","",""
"","","","","","","65_to_69","73","44.3","45_to_49","86","25.4","","","","",""
"","","","","","","20_to_24","35","15.4","40_to_44","79","19.5","","","","",""
"","","","","","","80_to_84","93","109","25_to_29","64","22.6","","","","",""
"","","","","","","70_to_74","77","52.6","30_to_34","86","22.4","","","","",""
"","","","","","","5_to_9","2","0.8","55_to_59","112","40","","","","",""
"","","","","","","45_to_49","61","18.9","10_to_14","4","1.3","","","","",""
"","","","","","","40_to_44","61","16.2","50_to_54","131","43.5","","","","",""
"","","","","","","75_to_79","100","93.8","0_to_4","18","5.8","","","","",""
"","","","","","","10_to_14","5","1.7","15_to_19","4","1.5","","","","",""
"","","","","","","55_to_59","75","26.1","35_to_39","73","17","","","","",""
"","","","","","","90+","86","227.8","70_to_74","126","99.1","","","","",""
"","","region","London","E12000007","2020-03-19","35_to_39","56","13.7","0_to_4","15","4.8","","","","",""
"","","","","","","90+","69","182.7","35_to_39","59","13.7","","","","",""
"","","","","","","45_to_49","51","15.8","10_to_14","3","1","","","","",""
"","","","","","","60_to_64","75","37.5","60_to_64","91","47.6","","","","",""
"","","","","","","80_to_84","81","95","80_to_84","118","180.1","","","","",""
"","","","","","","85_to_89","86","154.7","45_to_49","69","20.4","","","","",""
"","","","","","","50_to_54","79","26.7","65_to_69","83","56","","","","",""
"","","","","","","0_to_4","4","1.4","30_to_34","80","20.8","","","","",""
"","","","","","","75_to_79","85","79.7","5_to_9","4","1.6","","","","",""
"","","","","","","5_to_9","2","0.8","55_to_59","93","33.2","","","","",""
"","","","","","","55_to_59","62","21.6","70_to_74","111","87.3","","","","",""
"","","","","","","65_to_69","61","37","40_to_44","68","16.8","","","","",""
"","","","","","","70_to_74","71","48.5","90+","63","319.8","","","","",""
"","","","","","","25_to_29","69","24.5","85_to_89","110","290.6","","","","",""
"","","","","","","10_to_14","5","1.7","15_to_19","2","0.7","","","","",""
"","","","","","","15_to_19","8","3.1","75_to_79","112","129.2","","","","",""
"","","","","","","30_to_34","81","21","50_to_54","102","33.9","","","","",""
"","","","","","","20_to_24","31","13.7","20_to_24","29","12.1","","","","",""
"","","","","","","40_to_44","55","14.6","25_to_29","59","20.8","","","","",""
"","","region","London","E12000007","2020-03-18","5_to_9","2","0.8","5_to_9","4","1.6","","","","",""
"","","","","","","65_to_69","53","32.2","55_to_59","79","28.2","","","","",""
"","","","","","","10_to_14","5","1.7","80_to_84","101","154.1","","","","",""
"","","","","","","35_to_39","53","13","60_to_64","73","38.2","","","","",""
"","","","","","","60_to_64","66","33","75_to_79","92","106.1","","","","",""
"","","","","","","0_to_4","3","1","85_to_89","96","253.6","","","","",""
"","","","","","","20_to_24","30","13.2","25_to_29","53","18.7","","","","",""
"","","","","","","80_to_84","63","73.9","45_to_49","54","16","","","","",""
"","","","","","","15_to_19","7","2.7","30_to_34","68","17.7","","","","",""
"","","","","","","45_to_49","45","14","40_to_44","59","14.6","","","","",""
"","","","","","","50_to_54","64","21.7","50_to_54","81","26.9","","","","",""
"","","","","","","25_to_29","64","22.7","90+","51","258.9","","","","",""
"","","","","","","75_to_79","71","66.6","20_to_24","28","11.6","","","","",""
"","","","","","","85_to_89","77","138.5","70_to_74","98","77.1","","","","",""
"","","","","","","40_to_44","45","11.9","10_to_14","3","1","","","","",""
"","","","","","","90+","55","145.7","65_to_69","73","49.3","","","","",""
"","","","","","","55_to_59","54","18.8","15_to_19","2","0.7","","","","",""
"","","","","","","30_to_34","75","19.4","0_to_4","14","4.5","","","","",""
"","","","","","","70_to_74","59","40.3","35_to_39","50","11.6","","","","",""
"","","region","London","E12000007","2020-03-17","10_to_14","4","1.4","90+","41","208.1","","","","",""
"","","","","","","5_to_9","2","0.8","75_to_79","76","87.7","","","","",""
"","","","","","","20_to_24","25","11","35_to_39","46","10.7","","","","",""
"","","","","","","85_to_89","66","118.7","15_to_19","2","0.7","","","","",""
"","","","","","","75_to_79","55","51.6","20_to_24","25","10.4","","","","",""
"","","","","","","35_to_39","44","10.8","30_to_34","56","14.6","","","","",""
"","","","","","","80_to_84","44","51.6","45_to_49","49","14.5","","","","",""
"","","","","","","45_to_49","36","11.2","40_to_44","49","12.1","","","","",""
"","","","","","","15_to_19","4","1.5","10_to_14","3","1","","","","",""
"","","","","","","60_to_64","52","26","55_to_59","63","22.5","","","","",""
"","","","","","","30_to_34","60","15.6","25_to_29","50","17.6","","","","",""
"","","","","","","25_to_29","55","19.5","5_to_9","4","1.6","","","","",""
"","","","","","","90+","39","103.3","70_to_74","83","65.3","","","","",""
"","","","","","","55_to_59","42","14.6","60_to_64","57","29.8","","","","",""
"","","","","","","70_to_74","46","31.4","50_to_54","69","22.9","","","","",""
"","","","","","","40_to_44","35","9.3","65_to_69","60","40.5","","","","",""
"","","","","","","0_to_4","2","0.7","0_to_4","11","3.5","","","","",""
"","","","","","","65_to_69","45","27.3","85_to_89","73","192.8","","","","",""
"","","","","","","50_to_54","54","18.3","80_to_84","87","132.8","","","","",""
"","","region","London","E12000007","2020-03-16","60_to_64","41","20.5","70_to_74","61","48","","","","",""
"","","","","","","30_to_34","52","13.5","65_to_69","49","33.1","","","","",""
"","","","","","","25_to_29","47","16.7","90+","31","157.4","","","","",""
"","","","","","","40_to_44","28","7.4","30_to_34","55","14.3","","","","",""
"","","","","","","55_to_59","31","10.8","20_to_24","24","10","","","","",""
"","","","","","","35_to_39","33","8.1","0_to_4","9","2.9","","","","",""
"","","","","","","50_to_54","39","13.2","25_to_29","44","15.5","","","","",""
"","","","","","","75_to_79","41","38.5","5_to_9","4","1.6","","","","",""
"","","","","","","20_to_24","25","11","15_to_19","1","0.4","","","","",""
"","","","","","","90+","30","79.5","55_to_59","55","19.6","","","","",""
"","","","","","","80_to_84","32","37.5","60_to_64","51","26.7","","","","",""
"","","","","","","15_to_19","4","1.5","80_to_84","61","93.1","","","","",""
"","","","","","","65_to_69","37","22.5","75_to_79","56","64.6","","","","",""
"","","","","","","45_to_49","33","10.2","10_to_14","3","1","","","","",""
"","","","","","","85_to_89","50","89.9","40_to_44","41","10.1","","","","",""
"","","","","","","5_to_9","2","0.8","50_to_54","55","18.3","","","","",""
"","","","","","","0_to_4","1","0.3","85_to_89","57","150.6","","","","",""
"","","","","","","70_to_74","35","23.9","45_to_49","39","11.5","","","","",""
"","","","","","","10_to_14","4","1.4","35_to_39","42","9.8","","","","",""
"","","region","London","E12000007","2020-03-15","45_to_49","28","8.7","20_to_24","22","9.1","","","","",""
"","","","","","","85_to_89","33","59.3","35_to_39","40","9.3","","","","",""
"","","","","","","5_to_9","2","0.8","40_to_44","34","8.4","","","","",""
"","","","","","","80_to_84","24","28.1","65_to_69","38","25.6","","","","",""
"","","","","","","55_to_59","24","8.4","85_to_89","41","108.3","","","","",""
"","","","","","","15_to_19","2","0.8","30_to_34","52","13.5","","","","",""
"","","","","","","50_to_54","29","9.8","80_to_84","49","74.8","","","","",""
"","","","","","","20_to_24","24","10.6","50_to_54","41","13.6","","","","",""
"","","","","","","0_to_4","1","0.3","0_to_4","8","2.6","","","","",""
"","","","","","","65_to_69","31","18.8","10_to_14","3","1","","","","",""
"","","","","","","60_to_64","33","16.5","45_to_49","35","10.3","","","","",""
"","","","","","","10_to_14","4","1.4","60_to_64","43","22.5","","","","",""
"","","","","","","90+","22","58.3","15_to_19","1","0.4","","","","",""
"","","","","","","35_to_39","30","7.3","25_to_29","43","15.2","","","","",""
"","","","","","","25_to_29","44","15.6","70_to_74","52","40.9","","","","",""
"","","","","","","40_to_44","23","6.1","55_to_59","42","15","","","","",""
"","","","","","","75_to_79","28","26.3","75_to_79","45","51.9","","","","",""
"","","","","","","30_to_34","44","11.4","90+","25","126.9","","","","",""
"","","","","","","70_to_74","25","17.1","5_to_9","4","1.6","","","","",""
"","","region","London","E12000007","2020-03-14","15_to_19","1","0.4","5_to_9","4","1.6","","","","",""
"","","","","","","25_to_29","39","13.8","70_to_74","40","31.5","","","","",""
"","","","","","","30_to_34","43","11.1","60_to_64","39","20.4","","","","",""
"","","","","","","40_to_44","22","5.8","20_to_24","22","9.1","","","","",""
"","","","","","","85_to_89","28","50.4","25_to_29","43","15.2","","","","",""
"","","","","","","45_to_49","24","7.4","35_to_39","38","8.8","","","","",""
"","","","","","","90+","17","45","50_to_54","31","10.3","","","","",""
"","","","","","","50_to_54","25","8.5","45_to_49","30","8.9","","","","",""
"","","","","","","5_to_9","2","0.8","30_to_34","50","13","","","","",""
"","","","","","","80_to_84","15","17.6","90+","20","101.5","","","","",""
"","","","","","","35_to_39","26","6.4","10_to_14","3","1","","","","",""
"","","","","","","60_to_64","27","13.5","85_to_89","31","81.9","","","","",""
"","","","","","","55_to_59","20","7","75_to_79","29","33.5","","","","",""
"","","","","","","0_to_4","1","0.3","80_to_84","36","54.9","","","","",""
"","","","","","","10_to_14","3","1","55_to_59","38","13.6","","","","",""
"","","","","","","75_to_79","19","17.8","0_to_4","6","1.9","","","","",""
"","","","","","","65_to_69","25","15.2","15_to_19","1","0.4","","","","",""
"","","","","","","70_to_74","20","13.7","65_to_69","34","22.9","","","","",""
"","","","","","","20_to_24","22","9.7","40_to_44","30","7.4","","","","",""
"","","region","London","E12000007","2020-03-13","15_to_19","1","0.4","35_to_39","35","8.1","","","","",""
"","","","","","","20_to_24","20","8.8","15_to_19","1","0.4","","","","",""
"","","","","","","40_to_44","20","5.3","90+","14","71.1","","","","",""
"","","","","","","35_to_39","24","5.9","30_to_34","48","12.5","","","","",""
"","","","","","","75_to_79","16","15","65_to_69","28","18.9","","","","",""
"","","","","","","10_to_14","3","1","5_to_9","3","1.2","","","","",""
"","","","","","","65_to_69","20","12.1","40_to_44","27","6.7","","","","",""
"","","","","","","25_to_29","37","13.1","10_to_14","3","1","","","","",""
"","","","","","","80_to_84","11","12.9","55_to_59","33","11.8","","","","",""
"","","","","","","70_to_74","15","10.2","25_to_29","39","13.8","","","","",""
"","","","","","","90+","12","31.8","50_to_54","26","8.6","","","","",""
"","","","","","","5_to_9","2","0.8","70_to_74","25","19.7","","","","",""
"","","","","","","30_to_34","41","10.6","80_to_84","28","42.7","","","","",""
"","","","","","","45_to_49","18","5.6","75_to_79","18","20.8","","","","",""
"","","","","","","60_to_64","23","11.5","85_to_89","21","55.5","","","","",""
"","","","","","","0_to_4","1","0.3","0_to_4","4","1.3","","","","",""
"","","","","","","55_to_59","19","6.6","60_to_64","32","16.8","","","","",""
"","","","","","","50_to_54","22","7.4","20_to_24","22","9.1","","","","",""
"","","","","","","85_to_89","17","30.6","45_to_49","26","7.7","","","","",""
"","","region","London","E12000007","2020-03-12","55_to_59","16","5.6","65_to_69","24","16.2","","","","",""
"","","","","","","35_to_39","19","4.7","40_to_44","20","4.9","","","","",""
"","","","","","","15_to_19","1","0.4","30_to_34","42","10.9","","","","",""
"","","","","","","10_to_14","3","1","70_to_74","22","17.3","","","","",""
"","","","","","","45_to_49","15","4.7","55_to_59","29","10.4","","","","",""
"","","","","","","30_to_34","34","8.8","15_to_19","1","0.4","","","","",""
"","","","","","","0_to_4","1","0.3","0_to_4","3","1","","","","",""
"","","","","","","80_to_84","5","5.9","5_to_9","3","1.2","","","","",""
"","","","","","","40_to_44","14","3.7","50_to_54","21","7","","","","",""
"","","","","","","25_to_29","31","11","20_to_24","21","8.7","","","","",""
"","","","","","","65_to_69","11","6.7","25_to_29","35","12.3","","","","",""
"","","","","","","5_to_9","0","0","60_to_64","27","14.1","","","","",""
"","","","","","","70_to_74","12","8.2","10_to_14","3","1","","","","",""
"","","","","","","90+","9","23.8","90+","14","71.1","","","","",""
"","","","","","","20_to_24","18","7.9","75_to_79","12","13.8","","","","",""
"","","","","","","85_to_89","14","25.2","80_to_84","21","32","","","","",""
"","","","","","","50_to_54","17","5.8","35_to_39","32","7.4","","","","",""
"","","","","","","75_to_79","9","8.4","85_to_89","14","37","","","","",""
"","","","","","","60_to_64","21","10.5","45_to_49","25","7.4","","","","",""
"","","region","London","E12000007","2020-03-11","70_to_74","8","5.5","90+","12","60.9","","","","",""
"","","","","","","40_to_44","11","2.9","20_to_24","18","7.5","","","","",""
"","","","","","","60_to_64","16","8","15_to_19","1","0.4","","","","",""
"","","","","","","30_to_34","25","6.5","35_to_39","20","4.7","","","","",""
"","","","","","","90+","6","15.9","55_to_59","20","7.1","","","","",""
"","","","","","","85_to_89","8","14.4","5_to_9","2","0.8","","","","",""
"","","","","","","75_to_79","4","3.8","50_to_54","19","6.3","","","","",""
"","","","","","","20_to_24","15","6.6","80_to_84","12","18.3","","","","",""
"","","","","","","25_to_29","26","9.2","40_to_44","14","3.5","","","","",""
"","","","","","","50_to_54","14","4.7","70_to_74","18","14.2","","","","",""
"","","","","","","0_to_4","1","0.3","65_to_69","18","12.1","","","","",""
"","","","","","","80_to_84","3","3.5","0_to_4","2","0.6","","","","",""
"","","","","","","45_to_49","12","3.7","85_to_89","12","31.7","","","","",""
"","","","","","","65_to_69","9","5.5","25_to_29","22","7.8","","","","",""
"","","","","","","10_to_14","2","0.7","30_to_34","27","7","","","","",""
"","","","","","","5_to_9","0","0","60_to_64","22","11.5","","","","",""
"","","","","","","55_to_59","10","3.5","10_to_14","3","1","","","","",""
"","","","","","","15_to_19","1","0.4","45_to_49","22","6.5","","","","",""
"","","","","","","35_to_39","11","2.7","75_to_79","9","10.4","","","","",""
"","","region","London","E12000007","2020-03-10","70_to_74","5","3.4","20_to_24","12","5","","","","",""
"","","","","","","50_to_54","9","3","30_to_34","16","4.2","","","","",""
"","","","","","","60_to_64","11","5.5","65_to_69","12","8.1","","","","",""
"","","","","","","5_to_9","0","0","90+","3","15.2","","","","",""
"","","","","","","10_to_14","0","0","25_to_29","13","4.6","","","","",""
"","","","","","","15_to_19","0","0","60_to_64","12","6.3","","","","",""
"","","","","","","20_to_24","11","4.8","40_to_44","9","2.2","","","","",""
"","","","","","","35_to_39","6","1.5","80_to_84","3","4.6","","","","",""
"","","","","","","85_to_89","6","10.8","85_to_89","8","21.1","","","","",""
"","","","","","","65_to_69","4","2.4","70_to_74","10","7.9","","","","",""
"","","","","","","80_to_84","0","0","0_to_4","2","0.6","","","","",""
"","","","","","","75_to_79","3","2.8","50_to_54","11","3.7","","","","",""
"","","","","","","90+","2","5.3","45_to_49","12","3.5","","","","",""
"","","","","","","55_to_59","8","2.8","10_to_14","3","1","","","","",""
"","","","","","","0_to_4","1","0.3","5_to_9","0","0","","","","",""
"","","","","","","45_to_49","7","2.2","75_to_79","5","5.8","","","","",""
"","","","","","","30_to_34","17","4.4","35_to_39","14","3.3","","","","",""
"","","","","","","25_to_29","19","6.7","55_to_59","14","5","","","","",""
"","","","","","","40_to_44","4","1.1","15_to_19","0","0","","","","",""
"","","region","London","E12000007","2020-03-09","85_to_89","2","3.6","70_to_74","5","3.9","","","","",""
"","","","","","","75_to_79","1","0.9","50_to_54","7","2.3","","","","",""
"","","","","","","35_to_39","3","0.7","60_to_64","7","3.7","","","","",""
"","","","","","","20_to_24","8","3.5","0_to_4","1","0.3","","","","",""
"","","","","","","0_to_4","0","0","45_to_49","10","3","","","","",""
"","","","","","","10_to_14","0","0","40_to_44","7","1.7","","","","",""
"","","","","","","40_to_44","3","0.8","55_to_59","8","2.9","","","","",""
"","","","","","","90+","0","0","10_to_14","1","0.3","","","","",""
"","","","","","","50_to_54","6","2","85_to_89","6","15.8","","","","",""
"","","","","","","65_to_69","2","1.2","75_to_79","3","3.5","","","","",""
"","","","","","","45_to_49","5","1.6","80_to_84","1","1.5","","","","",""
"","","","","","","15_to_19","0","0","65_to_69","8","5.4","","","","",""
"","","","","","","80_to_84","0","0","20_to_24","7","2.9","","","","",""
"","","","","","","25_to_29","15","5.3","35_to_39","12","2.8","","","","",""
"","","","","","","5_to_9","0","0","15_to_19","0","0","","","","",""
"","","","","","","70_to_74","4","2.7","5_to_9","0","0","","","","",""
"","","","","","","60_to_64","5","2.5","30_to_34","13","3.4","","","","",""
"","","","","","","55_to_59","3","1","90+","1","5.1","","","","",""
"","","","","","","30_to_34","16","4.1","25_to_29","10","3.5","","","","",""
"","","region","London","E12000007","2020-03-08","35_to_39","2","0.5","85_to_89","4","10.6","","","","",""
"","","","","","","15_to_19","0","0","80_to_84","1","1.5","","","","",""
"","","","","","","70_to_74","4","2.7","40_to_44","6","1.5","","","","",""
"","","","","","","75_to_79","0","0","25_to_29","7","2.5","","","","",""
"","","","","","","55_to_59","1","0.3","10_to_14","1","0.3","","","","",""
"","","","","","","80_to_84","0","0","65_to_69","3","2","","","","",""
"","","","","","","45_to_49","3","0.9","45_to_49","6","1.8","","","","",""
"","","","","","","30_to_34","14","3.6","15_to_19","0","0","","","","",""
"","","","","","","25_to_29","12","4.3","35_to_39","8","1.9","","","","",""
"","","","","","","0_to_4","0","0","75_to_79","3","3.5","","","","",""
"","","","","","","65_to_69","2","1.2","0_to_4","1","0.3","","","","",""
"","","","","","","5_to_9","0","0","50_to_54","6","2","","","","",""
"","","","","","","85_to_89","1","1.8","5_to_9","0","0","","","","",""
"","","","","","","60_to_64","4","2","70_to_74","4","3.1","","","","",""
"","","","","","","10_to_14","0","0","90+","0","0","","","","",""
"","","","","","","20_to_24","6","2.6","60_to_64","3","1.6","","","","",""
"","","","","","","40_to_44","2","0.5","55_to_59","3","1.1","","","","",""
"","","","","","","50_to_54","5","1.7","30_to_34","7","1.8","","","","",""
"","","","","","","90+","0","0","20_to_24","7","2.9","","","","",""
"","","region","London","E12000007","2020-03-07","20_to_24","6","2.6","80_to_84","0","0","","","","",""
"","","","","","","85_to_89","1","1.8","85_to_89","1","2.6","","","","",""
"","","","","","","45_to_49","3","0.9","75_to_79","2","2.3","","","","",""
"","","","","","","35_to_39","2","0.5","65_to_69","2","1.3","","","","",""
"","","","","","","65_to_69","2","1.2","0_to_4","1","0.3","","","","",""
"","","","","","","15_to_19","0","0","20_to_24","5","2.1","","","","",""
"","","","","","","40_to_44","1","0.3","90+","0","0","","","","",""
"","","","","","","30_to_34","12","3.1","30_to_34","6","1.6","","","","",""
"","","","","","","0_to_4","0","0","35_to_39","7","1.6","","","","",""
"","","","","","","25_to_29","9","3.2","50_to_54","5","1.7","","","","",""
"","","","","","","10_to_14","0","0","60_to_64","2","1","","","","",""
